code,number,edition,character,series,quality,wishlists,dropQuality
vq2pf5t,11653,3,Brock's Croagunk,Pokémon: Diamond & Pearl,2,5,2
vq0sc48,54559,1,God Like Figure,Didn't I Say to Make My Abilities Average in the Next Life?!,4,1,4
vq01w4v,20670,2,Santana,JoJo's Bizarre Adventure,0,5,0
vqvd1mm,1582,5,Sonia Yanagi,Healer Girl,0,1,0
vqmg2vh,54182,1,King Cold,Dragon Ball Z,2,1,2
v0nqf10,17364,3,Daiki Ogano,Haikyuu!! Second Season,2,1,2
v0b5lz2,24175,2,Krugne,Granblue Fantasy,2,1,2
vvs6v4m,4941,3,Teresa Linares,Tales of Berseria,3,1,3
vv8mvp9,1216,5,Tsumugu Kihara,Nagi no Asukara,3,2,3
vvl1vgc,7193,4,Suzue Kanbe,Fugou Keiji: Balance:Unlimited,3,5,3
vvl26ld,3353,2,Ga-tan,Log Horizon 2,2,2,2
vvf26fh,52152,1,King Mickey,Disney Tsum Tsum,0,8,0
vv9n8rw,19188,2,Saber Lion,Carnival Phantasm,2,23,2
vvg54sc,9376,3,Kaoru Gojou,My Dress-Up Darling,4,5,4
vvpx04q,2611,1,tateWaki,Log Horizon: Destruction of the Round Table,1,0,1
vv43n94,23541,2,Laylamon,Digimon Xros Wars,2,1,2
vv410tr,51914,1,Ishikawa,Hacka Doll the Animation,2,0,2
vv4nj7f,12462,3,Shizue Izawa,That Time I Got Reincarnated as a Slime,1,128,1
vv4nrx7,2190,3,Karl Heisenberg,Resident Evil Village,2,95,2
vv4h3hz,7055,4,Salem,RWBY,2,14,2
vvzc90j,37407,1,Cheetah,Cyberdimension Neptunia: 4 Goddesses Online,2,0,2
vvz63p3,18459,2,Ayame Yomokawa,Kabaneri of the Iron Fortress,3,3,3
vvz3v2d,51567,1,Fire Sprite,The Ancient Magus' Bride,1,1,1
vv13jq7,11067,2,Jessie's Wobbuffet,Pokémon,4,5,4
vv130pn,51513,1,Gulzar,Pokémon,1,1,1
vv1477n,29030,2,Mr. Bear,Gakuen Alice,3,2,3
vvn1hmr,989,5,Momomi Kiyashiki,Strawberry Panic,4,1,4
vvnh9s3,7253,1,Makio,The House of the Lost on the Cape,2,0,2
vvjcmr8,23633,2,Badwick's Father,Trigun,2,0,2
vvjcp1c,26788,2,Kaiya,Jewelpet,3,1,3
vvb77nl,29345,2,Uta,Tokyo Ghoul,2,61,2
vv5xf1v,51015,1,Nebra Silva,Black Clover,3,1,3
vv5pkfd,1083,5,Sakura,Fire Emblem Fates,3,6,3
vv55hc9,29569,2,Glen Mackenzie,Fate/Zero,0,1,0
vv52gdf,6032,4,Ace,Zero Escape,4,2,4
vv509r4,2275,3,Seine,Log Horizon 2,1,1,1
vv5q9d3,12082,2,Kirihito Mori,Kamisama Kiss 2nd Season,0,1,0
vv5vtff,19714,1,Red's Dodrio,Pokémon Origins,2,1,2
vv5m896,51286,1,Yashima,Sekirei: Pure Engagement,3,1,3
vv5m7tv,2173,2,Shizuku Utsumi,Extreme Hearts,1,1,1
vv5mdvp,51107,1,Fergus,Pokémon: The First Movie,0,1,0
vvk62fd,825,5,Kamille Bidan,Mobile Suit Zeta Gundam,1,12,1
vvksll9,10996,3,Genis Sage,Tales of Symphonia,1,2,1
vvkx5n7,51343,1,Momiji,InuYasha,2,1,2
vvws8bn,15501,3,Yoshi,"Don't Toy with Me, Miss Nagatoro",1,17,1
vvw1h16,13015,2,Rentarou,The Disastrous Life of Saiki K.,2,0,2
vv2ff4c,5904,4,Shenhe,Genshin Impact,2,945,2
vv29n04,21764,2,Lim Tae-Gyu,Solo Leveling,1,1,1
vv2k9vt,51327,1,Kartana,Pokémon Sun & Moon,3,1,3
